"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","AGRWTH","A","2016",1.276991,
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUS","CPI","TOT","AGRWTH","A","2020",0.8469055,
"AUS","CPI","TOT","AGRWTH","A","2021",2.86391,
"AUS","CPI","TOT","AGRWTH","A","2022",6.594097,
"AUT","CPI","TOT","AGRWTH","A","2014",1.605806,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"AUT","CPI","TOT","AGRWTH","A","2016",0.8915924,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"BEL","CPI","TOT","AGRWTH","A","2014",0.3400028,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"BEL","CPI","TOT","AGRWTH","A","2016",1.973853,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"BEL","CPI","TOT","AGRWTH","A","2020",0.7407918,
"BEL","CPI","TOT","AGRWTH","A","2021",2.440248,
"BEL","CPI","TOT","AGRWTH","A","2022",9.597511,
"CAN","CPI","TOT","AGRWTH","A","2014",1.906636,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CAN","CPI","TOT","AGRWTH","A","2016",1.42876,
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"CAN","CPI","TOT","AGRWTH","A","2022",6.802801,
"CZE","CPI","TOT","AGRWTH","A","2014",0.3439886,
"CZE","CPI","TOT","AGRWTH","A","2015",0.3093646,
"CZE","CPI","TOT","AGRWTH","A","2016",0.6835042,
"CZE","CPI","TOT","AGRWTH","A","2017",2.450534,
"CZE","CPI","TOT","AGRWTH","A","2018",2.149495,
"CZE","CPI","TOT","AGRWTH","A","2019",2.847876,
"CZE","CPI","TOT","AGRWTH","A","2020",3.161295,
"CZE","CPI","TOT","AGRWTH","A","2021",3.839845,
"CZE","CPI","TOT","AGRWTH","A","2022",15.10017,
"DNK","CPI","TOT","AGRWTH","A","2014",0.5640205,
"DNK","CPI","TOT","AGRWTH","A","2015",0.4520341,
"DNK","CPI","TOT","AGRWTH","A","2016",0.25,
"DNK","CPI","TOT","AGRWTH","A","2017",1.147132,
"DNK","CPI","TOT","AGRWTH","A","2018",0.8136095,
"DNK","CPI","TOT","AGRWTH","A","2019",0.7581316,
"DNK","CPI","TOT","AGRWTH","A","2020",0.420712,
"DNK","CPI","TOT","AGRWTH","A","2021",1.853045,
"DNK","CPI","TOT","AGRWTH","A","2022",7.696567,
"FIN","CPI","TOT","AGRWTH","A","2014",1.0412,
"FIN","CPI","TOT","AGRWTH","A","2015",-0.207932,
"FIN","CPI","TOT","AGRWTH","A","2016",0.3566845,
"FIN","CPI","TOT","AGRWTH","A","2017",0.754015,
"FIN","CPI","TOT","AGRWTH","A","2018",1.083821,
"FIN","CPI","TOT","AGRWTH","A","2019",1.024094,
"FIN","CPI","TOT","AGRWTH","A","2020",0.2905546,
"FIN","CPI","TOT","AGRWTH","A","2021",2.194574,
"FIN","CPI","TOT","AGRWTH","A","2022",7.123507,
"FRA","CPI","TOT","AGRWTH","A","2014",0.5077588,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"FRA","CPI","TOT","AGRWTH","A","2016",0.1833349,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"FRA","CPI","TOT","AGRWTH","A","2019",1.108255,
"FRA","CPI","TOT","AGRWTH","A","2020",0.4764988,
"FRA","CPI","TOT","AGRWTH","A","2021",1.642331,
"FRA","CPI","TOT","AGRWTH","A","2022",5.222367,
"DEU","CPI","TOT","AGRWTH","A","2014",0.9067971,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"DEU","CPI","TOT","AGRWTH","A","2016",0.4917486,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"DEU","CPI","TOT","AGRWTH","A","2019",1.445667,
"DEU","CPI","TOT","AGRWTH","A","2020",0.1448705,
"DEU","CPI","TOT","AGRWTH","A","2021",3.066667,
"DEU","CPI","TOT","AGRWTH","A","2022",6.872574,
"GRC","CPI","TOT","AGRWTH","A","2014",-1.312242,
"GRC","CPI","TOT","AGRWTH","A","2015",-1.735902,
"GRC","CPI","TOT","AGRWTH","A","2016",-0.8256576,
"GRC","CPI","TOT","AGRWTH","A","2017",1.121259,
"GRC","CPI","TOT","AGRWTH","A","2018",0.6256205,
"GRC","CPI","TOT","AGRWTH","A","2019",0.2529927,
"GRC","CPI","TOT","AGRWTH","A","2020",-1.247972,
"GRC","CPI","TOT","AGRWTH","A","2021",1.223826,
"GRC","CPI","TOT","AGRWTH","A","2022",9.645261,
"HUN","CPI","TOT","AGRWTH","A","2014",-0.2275663,
"HUN","CPI","TOT","AGRWTH","A","2015",-0.06164468,
"HUN","CPI","TOT","AGRWTH","A","2016",0.3947693,
"HUN","CPI","TOT","AGRWTH","A","2017",2.348243,
"HUN","CPI","TOT","AGRWTH","A","2018",2.850248,
"HUN","CPI","TOT","AGRWTH","A","2019",3.338586,
"HUN","CPI","TOT","AGRWTH","A","2020",3.326744,
"HUN","CPI","TOT","AGRWTH","A","2021",5.110965,
"HUN","CPI","TOT","AGRWTH","A","2022",14.60814,
"ISL","CPI","TOT","AGRWTH","A","2014",2.044619,
"ISL","CPI","TOT","AGRWTH","A","2015",1.633058,
"ISL","CPI","TOT","AGRWTH","A","2016",1.69693,
"ISL","CPI","TOT","AGRWTH","A","2017",1.760413,
"ISL","CPI","TOT","AGRWTH","A","2018",2.682915,
"ISL","CPI","TOT","AGRWTH","A","2019",3.013977,
"ISL","CPI","TOT","AGRWTH","A","2020",2.847919,
"ISL","CPI","TOT","AGRWTH","A","2021",4.444243,
"ISL","CPI","TOT","AGRWTH","A","2022",8.308754,
"IRL","CPI","TOT","AGRWTH","A","2014",0.1825423,
